May 04, 2015 2:45:04 PM org.apache.karaf.main.SimpleFileLock lock
INFO: locking
14:45:04,637 | INFO  | FelixStartLevel  | fileinstall                      | 7 - org.apache.felix.fileinstall - 3.3.11.redhat-610379 | Installed /NotBackedUp/cpandey/Downloads/fuse-pocs-camel-spring-properties/fuse-pocs-camel-spring-properties-itest/target/pax/5c63462d-a114-416a-a6be-9fa675a5c526/etc/io.fabric8.datastore.cfg
14:45:04,640 | INFO  | FelixStartLevel  | fileinstall                      | 7 - org.apache.felix.fileinstall - 3.3.11.redhat-610379 | Installed /NotBackedUp/cpandey/Downloads/fuse-pocs-camel-spring-properties/fuse-pocs-camel-spring-properties-itest/target/pax/5c63462d-a114-416a-a6be-9fa675a5c526/etc/org.apache.karaf.log.cfg
14:45:04,642 | INFO  | FelixStartLevel  | fileinstall                      | 7 - org.apache.felix.fileinstall - 3.3.11.redhat-610379 | Installed /NotBackedUp/cpandey/Downloads/fuse-pocs-camel-spring-properties/fuse-pocs-camel-spring-properties-itest/target/pax/5c63462d-a114-416a-a6be-9fa675a5c526/etc/org.apache.karaf.features.obr.cfg
14:45:04,645 | INFO  | FelixStartLevel  | fileinstall                      | 7 - org.apache.felix.fileinstall - 3.3.11.redhat-610379 | Installed /NotBackedUp/cpandey/Downloads/fuse-pocs-camel-spring-properties/fuse-pocs-camel-spring-properties-itest/target/pax/5c63462d-a114-416a-a6be-9fa675a5c526/etc/org.apache.felix.fileinstall-deploy.cfg
14:45:04,647 | INFO  | FelixStartLevel  | fileinstall                      | 7 - org.apache.felix.fileinstall - 3.3.11.redhat-610379 | Installed /NotBackedUp/cpandey/Downloads/fuse-pocs-camel-spring-properties/fuse-pocs-camel-spring-properties-itest/target/pax/5c63462d-a114-416a-a6be-9fa675a5c526/etc/io.fabric8.maven.cfg
14:45:04,650 | INFO  | FelixStartLevel  | fileinstall                      | 7 - org.apache.felix.fileinstall - 3.3.11.redhat-610379 | Installed /NotBackedUp/cpandey/Downloads/fuse-pocs-camel-spring-properties/fuse-pocs-camel-spring-properties-itest/target/pax/5c63462d-a114-416a-a6be-9fa675a5c526/etc/org.apache.karaf.features.cfg
14:45:04,653 | INFO  | FelixStartLevel  | fileinstall                      | 7 - org.apache.felix.fileinstall - 3.3.11.redhat-610379 | Installed /NotBackedUp/cpandey/Downloads/fuse-pocs-camel-spring-properties/fuse-pocs-camel-spring-properties-itest/target/pax/5c63462d-a114-416a-a6be-9fa675a5c526/etc/org.fusesource.mq.fabric.server-default.cfg
14:45:04,656 | INFO  | FelixStartLevel  | fileinstall                      | 7 - org.apache.felix.fileinstall - 3.3.11.redhat-610379 | Installed /NotBackedUp/cpandey/Downloads/fuse-pocs-camel-spring-properties/fuse-pocs-camel-spring-properties-itest/target/pax/5c63462d-a114-416a-a6be-9fa675a5c526/etc/org.fusesource.bai.agent.cfg
14:45:04,658 | INFO  | FelixStartLevel  | fileinstall                      | 7 - org.apache.felix.fileinstall - 3.3.11.redhat-610379 | Installed /NotBackedUp/cpandey/Downloads/fuse-pocs-camel-spring-properties/fuse-pocs-camel-spring-properties-itest/target/pax/5c63462d-a114-416a-a6be-9fa675a5c526/etc/org.apache.karaf.shell.cfg
14:45:04,661 | INFO  | FelixStartLevel  | fileinstall                      | 7 - org.apache.felix.fileinstall - 3.3.11.redhat-610379 | Installed /NotBackedUp/cpandey/Downloads/fuse-pocs-camel-spring-properties/fuse-pocs-camel-spring-properties-itest/target/pax/5c63462d-a114-416a-a6be-9fa675a5c526/etc/org.apache.aries.transaction.cfg
14:45:04,663 | INFO  | FelixStartLevel  | fileinstall                      | 7 - org.apache.felix.fileinstall - 3.3.11.redhat-610379 | Installed /NotBackedUp/cpandey/Downloads/fuse-pocs-camel-spring-properties/fuse-pocs-camel-spring-properties-itest/target/pax/5c63462d-a114-416a-a6be-9fa675a5c526/etc/org.apache.karaf.jaas.cfg
